Time,Temp_DHT,Hum_DHT,Temp_BME,Hum_BME,Pressure_hPa,Soil_Percent,Rain
2025-11-19 09:46:31,28.5,81.4,28.03,69.78,1010.48,51,0
2025-11-19 09:46:33,28.5,81.4,28.02,70.02,1010.46,51,0
2025-11-19 09:46:35,28.5,82.1,27.99,70.67,1010.43,51,0
2025-11-19 09:46:37,28.5,82.2,27.97,70.92,1010.48,51,0
2025-11-19 09:46:39,28.5,82.4,27.97,70.85,1010.47,51,0
2025-11-19 09:46:41,28.5,82.1,27.96,70.33,1010.43,51,0
2025-11-19 09:46:43,28.5,81.4,27.94,70.04,1010.44,51,0
2025-11-19 09:46:45,28.4,81.3,27.93,70.34,1010.46,51,0
2025-11-19 09:46:47,28.4,81.7,27.92,70.69,1010.44,51,0
2025-11-19 09:46:49,28.4,82.0,27.89,70.71,1010.45,51,0
2025-11-19 09:46:51,28.4,82.3,27.88,70.56,1010.45,51,0
2025-11-19 09:46:53,28.4,82.2,27.88,70.23,1010.46,51,0
2025-11-19 09:46:55,28.4,81.6,27.86,70.02,1010.46,51,0
2025-11-19 09:46:57,28.4,81.4,27.86,69.83,1010.46,51,0
2025-11-19 09:46:59,28.4,81.1,27.87,69.67,1010.46,51,0
2025-11-19 09:47:01,28.4,81.0,27.82,70.22,1010.43,51,0
2025-11-19 09:47:03,28.4,81.3,27.81,69.96,1010.43,51,0
2025-11-19 09:47:05,28.4,81.2,27.79,69.82,1010.41,51,0
2025-11-19 09:47:07,28.4,81.0,27.78,69.95,1010.43,51,0
2025-11-19 09:47:09,28.4,81.0,27.77,69.87,1010.4,51,0
2025-11-19 09:47:11,28.3,81.1,27.75,69.99,1010.42,51,0
2025-11-19 09:47:13,28.3,81.2,27.74,69.95,1010.43,51,0
2025-11-19 09:47:15,28.3,81.2,27.74,69.94,1010.46,51,0
2025-11-19 09:47:17,28.3,81.1,27.73,69.77,1010.47,51,0
2025-11-19 09:47:19,28.3,80.8,27.71,69.65,1010.46,51,0
2025-11-19 09:47:21,28.3,80.7,27.72,69.6,1010.45,51,0
2025-11-19 09:47:23,28.3,80.7,27.73,69.53,1010.45,51,0
2025-11-19 09:47:25,28.3,80.7,27.72,69.61,1010.44,50,0
2025-11-19 09:47:27,28.3,80.8,27.71,69.66,1010.43,50,0
2025-11-19 09:47:29,28.3,81.0,27.69,69.69,1010.44,50,0
2025-11-19 09:47:31,28.3,81.2,27.69,69.64,1010.44,50,0
2025-11-19 09:47:33,28.3,81.0,27.7,69.57,1010.41,50,0
2025-11-19 09:47:35,28.3,80.9,27.71,69.82,1010.41,50,0
2025-11-19 09:47:37,28.3,81.2,27.71,69.69,1010.44,50,0
2025-11-19 09:47:39,28.3,81.2,27.72,69.61,1010.42,50,0
2025-11-19 09:47:41,28.3,81.2,27.71,69.66,1010.44,50,0
2025-11-19 09:47:43,28.2,81.2,27.71,69.56,1010.42,50,0
2025-11-19 09:47:45,28.2,81.0,27.71,69.53,1010.42,50,0
2025-11-19 09:47:47,28.2,81.3,27.71,69.74,1010.44,50,0
2025-11-19 09:47:50,28.2,81.6,27.69,69.57,1010.43,50,0
2025-11-19 09:47:52,28.2,81.2,27.67,69.76,1010.43,50,0
2025-11-19 09:47:54,28.2,81.3,27.67,70.0,1010.46,50,0
2025-11-19 09:47:56,28.2,81.4,27.65,70.33,1010.44,50,0
2025-11-19 09:47:58,28.2,81.6,27.65,70.45,1010.44,50,0
2025-11-19 09:48:00,28.2,81.7,27.66,70.33,1010.44,50,0
2025-11-19 09:48:02,28.2,81.7,27.67,70.08,1010.46,50,0
2025-11-19 09:48:04,28.2,81.5,27.67,69.96,1010.45,50,0
2025-11-19 09:48:06,28.2,81.4,27.68,69.94,1010.43,50,0
2025-11-19 09:48:08,28.2,81.8,27.68,70.04,1010.42,50,0
2025-11-19 09:48:10,28.2,82.2,27.69,70.15,1010.45,50,0
2025-11-19 09:48:12,28.2,82.1,27.69,70.0,1010.45,50,0
2025-11-19 09:48:14,28.2,82.0,27.7,70.05,1010.48,50,0
2025-11-19 09:48:16,28.2,82.0,27.7,70.18,1010.41,50,0
2025-11-19 09:48:18,28.2,82.0,27.7,70.59,1010.44,50,0
2025-11-19 09:48:20,28.2,82.2,27.69,70.68,1010.41,50,0
2025-11-19 09:48:22,28.2,82.1,27.67,70.71,1010.43,50,0
2025-11-19 09:48:24,28.2,81.8,27.66,70.96,1010.44,50,0
2025-11-19 09:48:26,28.2,81.8,27.63,71.05,1010.42,50,0
2025-11-19 09:48:28,28.2,81.9,27.6,70.86,1010.4,50,0
2025-11-19 09:48:30,28.2,81.9,27.59,70.39,1010.45,50,0
2025-11-19 09:48:32,28.2,81.3,27.57,69.98,1010.44,50,0
2025-11-19 09:48:34,28.1,81.1,27.56,69.87,1010.46,50,0
2025-11-19 09:48:36,28.1,81.0,27.55,70.02,1010.45,50,0
2025-11-19 09:48:38,28.1,80.9,27.55,69.74,1010.46,50,0
2025-11-19 09:48:40,28.1,80.9,27.54,69.83,1010.46,50,0
2025-11-19 09:48:42,28.1,80.8,27.54,69.7,1010.46,50,0
2025-11-19 09:48:44,28.1,80.8,27.55,69.69,1010.46,50,0
2025-11-19 09:48:46,28.1,80.8,27.54,69.83,1010.45,50,0
2025-11-19 09:48:48,28.1,80.9,27.54,69.65,1010.46,50,0
2025-11-19 09:48:50,28.1,80.6,27.53,69.46,1010.47,50,0
2025-11-19 09:48:52,28.1,80.5,27.53,69.47,1010.47,49,0
2025-11-19 09:48:54,28.1,80.3,27.53,69.39,1010.47,50,0
2025-11-19 09:48:56,28.1,80.3,27.56,69.25,1010.46,50,0
2025-11-19 09:48:58,28.1,80.2,27.56,69.07,1010.42,50,0
2025-11-19 09:49:00,28.1,80.2,27.56,69.01,1010.44,50,0
2025-11-19 09:49:02,28.1,80.2,27.57,68.95,1010.43,50,0
2025-11-19 09:49:04,28.1,80.1,27.57,69.13,1010.43,49,0
2025-11-19 09:49:06,28.1,80.2,27.58,69.2,1010.44,49,0
2025-11-19 09:49:08,28.1,80.4,27.59,69.2,1010.44,49,0
2025-11-19 09:49:10,28.1,80.6,27.6,69.16,1010.44,49,0
2025-11-19 09:49:12,28.1,80.5,27.6,69.11,1010.41,49,0
2025-11-19 09:49:14,28.1,80.6,27.6,69.15,1010.41,49,0
2025-11-19 09:49:16,28.1,80.7,27.6,69.3,1010.43,49,0
2025-11-19 09:49:18,28.1,81.0,27.62,69.31,1010.43,49,0
2025-11-19 09:49:20,28.1,80.9,27.62,69.38,1010.42,49,0
2025-11-19 09:49:22,28.1,80.7,27.6,69.18,1010.42,49,0
2025-11-19 09:49:24,28.1,80.7,27.61,69.17,1010.44,49,0
2025-11-19 09:49:26,28.1,80.8,27.62,69.17,1010.43,49,0
2025-11-19 09:49:28,28.1,80.8,27.61,69.08,1010.4,49,0
2025-11-19 09:49:30,28.1,80.6,27.61,69.19,1010.4,49,0
2025-11-19 09:49:32,28.1,80.7,27.62,69.29,1010.44,49,0
2025-11-19 09:49:34,28.1,80.9,27.62,69.29,1010.4,49,0
2025-11-19 09:49:36,28.1,81.0,27.62,69.32,1010.41,49,0
2025-11-19 09:49:38,28.1,81.2,27.62,69.37,1010.41,49,0
2025-11-19 09:49:40,28.1,81.2,27.63,69.52,1010.46,49,0
2025-11-19 09:49:42,28.1,81.7,27.62,69.71,1010.44,49,0
2025-11-19 09:49:44,28.1,82.1,27.62,69.99,1010.46,49,0
2025-11-19 09:49:46,28.1,82.4,27.62,70.11,1010.43,49,0
2025-11-19 09:49:48,28.1,82.5,27.63,70.18,1010.42,49,0
2025-11-19 09:49:50,28.1,82.5,27.63,70.19,1010.44,49,0
2025-11-19 09:49:52,28.1,82.4,27.64,70.2,1010.43,49,0
2025-11-19 09:49:54,28.1,82.5,27.64,70.37,1010.44,49,0
2025-11-19 09:49:56,28.1,82.7,27.61,70.76,1010.45,49,0
2025-11-19 09:49:58,28.1,83.0,27.61,70.82,1010.47,49,0
2025-11-19 09:50:00,28.1,83.0,27.61,70.66,1010.44,49,0
2025-11-19 09:50:02,28.1,82.7,27.6,70.54,1010.45,49,0
2025-11-19 09:50:04,28.1,82.5,27.6,70.67,1010.42,49,0
2025-11-19 09:50:06,28.1,83.2,27.61,70.81,1010.42,49,0
2025-11-19 09:50:08,28.1,83.5,27.61,70.8,1010.48,49,0
2025-11-19 09:50:10,28.1,83.4,27.61,70.71,1010.4,49,0
2025-11-19 09:50:12,28.1,83.2,27.6,70.62,1010.41,49,0
2025-11-19 09:50:14,28.1,82.9,27.6,70.62,1010.4,49,0
2025-11-19 09:50:16,28.1,83.0,27.61,70.88,1010.42,49,0
2025-11-19 09:50:18,28.1,83.1,27.6,71.25,1010.43,49,0
2025-11-19 09:50:21,28.1,83.0,27.6,71.19,1010.42,49,0
2025-11-19 09:50:23,28.1,82.8,27.6,71.2,1010.45,49,0
2025-11-19 09:50:25,28.1,83.0,27.6,71.31,1010.41,49,0
2025-11-19 09:50:27,28.1,83.6,27.6,71.08,1010.42,49,0
2025-11-19 09:50:29,28.1,83.5,27.61,71.05,1010.42,49,0
2025-11-19 09:50:31,28.1,83.5,27.61,71.17,1010.42,49,0
2025-11-19 09:50:33,28.1,83.5,27.62,71.16,1010.45,48,0
2025-11-19 09:50:35,28.1,83.2,27.62,71.0,1010.41,48,0
2025-11-19 09:50:37,28.1,82.9,27.61,70.82,1010.42,49,0
2025-11-19 09:50:39,28.1,82.4,27.61,70.71,1010.45,49,0
